名称,代码,口径,日期,开盘,最高,最低,收盘,供应商涨跌额,供应商涨跌幅_pct,复算涨跌额,复算涨跌幅_pct,涨跌幅复算差异_bp,年初至今涨跌幅_pct,成交量,成交额,振幅_pct,换手率_pct,数据源
创业板指,399006.SZ,官方指数,2026-01-30,3301.54,3369.24,3255.65,3346.36,41.85,1.27,41.84999999999991,1.266451001812663,-0.35489981873371157,4.470259149530009,270277334.0,730964128742.97,3.44,4.83,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-01-30,1501.51,1522.33,1465.32,1509.4,1.76,0.12,1.759999999999991,0.11673874399724671,-0.3261256002753288,12.289837821752725,14865583.0,92994626166.0,3.78,2.12,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-02,5661.33,5769.1,5520.05,5520.45,-150.16,-2.65,-150.15999999999985,-2.6480396288935393,0.19603711064606344,10.27072051647233,25074219.0,182032682744.0,4.39,3.15,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-02,3368.14,3390.3,3262.12,3264.11,-82.25,-2.46,-82.25,-2.457894548105999,0.21054518940011313,1.9024903455014952,245886883.0,681865659272.28,3.83,4.4,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-02,1492.81,1508.54,1450.1,1450.9,-58.5,-3.88,-58.5,-3.875712203524584,0.4287796475415995,7.9378068739770935,13153967.0,86595572659.0,3.87,1.88,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-03,5639.46,5842.88,5631.05,5842.41,321.96,5.83,321.96000000000004,5.832133250006799,0.21332500067989812,16.70185587273558,23034467.0,175027887395.0,3.84,2.89,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-03,3318.06,3332.48,3249.06,3324.89,60.78,1.86,60.779999999999745,1.8620695993701197,0.20695993701196347,3.7999856392261444,236713739.0,681737608018.42,2.56,4.23,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-03,1475.57,1478.05,1430.0,1471.07,20.17,1.39,20.169999999999845,1.3901716176166312,0.017161761663131436,9.438327629816978,13891459.0,98826244308.0,3.31,1.98,https://push2his.eastmoney.com/api/qt/stock/kline/get
CPO概念,BK1128,东方财富概念板块,2026-02-04,5796.11,5837.13,5657.98,5771.43,-70.98,-1.21,-70.97999999999956,-1.2149096006613624,-0.4909600661362479,15.284033821587716,22841643.0,161924513891.0,3.07,2.87,https://push2his.eastmoney.com/api/qt/stock/kline/get
创业板指,399006.SZ,官方指数,2026-02-04,3298.32,3318.9,3244.71,3311.51,-13.38,-0.4,-13.379999999999654,-0.40241932815821,-0.2419328158209999,3.3822744343884326,245288715.0,680872558372.45,2.23,4.39,https://push2his.eastmoney.com/api/qt/stock/kline/get
科创50,000688.SH,官方指数,2026-02-04,1452.98,1455.12,1432.6,1453.48,-17.59,-1.2,-17.589999999999918,-1.1957282794156532,0.4271720584346772,8.129742597827704,15639050.0,76593068050.0,1.53,2.23,https://push2his.eastmoney.com/api/qt/stock/kline/get
